METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     76	       0	       0	0.37s 	../segmented/standalone/blood_smear_13_otsu.png
OTSU w/out blur     	     66	       0	       0	0.46s 	../segmented/standalone/blood_smear_13_otsu_out_blur.png
HSV                 	     64	       0	       0	0.55s 	../segmented/standalone/blood_smear_13_hsv.png
HSV convex hull     	     66	       0	       0	1.77s 	../segmented/standalone/blood_smear_13_hsv_hull.png
Watershed           	    103	       0	       0	0.51s 	../segmented/standalone/blood_smear_13_waterhshed.png
Hough Circles       	     88	       0	       0	0.13s 	../segmented/standalone/blood_smear_13_hough.png
OTSU + Hough method 1 break	    125	       0	       0	0.57s 	../segmented/standalone/blood_smear_13_otsu_hough_1_break.png
OTSU + Hough method 2 merge	    153	       0	       0	0.46s 	../segmented/standalone/blood_smear_13_otsu_hough_2_merge.png
U-net               	     82	       0	       0	0.44s 	../segmented/standalone/blood_smear_13_unet.png
