METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     79	       0	       0	0.43s 	./segmented/hsv/blood_smear_25_otsu.png
OTSU w/out blur     	     81	       0	       0	0.44s 	./segmented/hsv/blood_smear_25_otsu_out_blur.png
HSV                 	     70	       0	       0	0.53s 	./segmented/hsv/blood_smear_25_hsv.png
HSV convex hull     	     75	       0	       0	0.50s 	./segmented/hsv/blood_smear_25_hsv_hull.png
Watershed           	    107	       0	       0	0.64s 	./segmented/hsv/blood_smear_25_waterhshed.png
Hough Circles       	    117	       0	       0	0.12s 	./segmented/hsv/blood_smear_25_hough.png
OTSU + Hough method 1 break	    125	       0	       0	0.55s 	./segmented/hsv/blood_smear_25_otsu_hough_1_break.png
OTSU + Hough method 2 merge	    121	       0	       0	0.45s 	./segmented/hsv/blood_smear_25_otsu_hough_2_merge.png
U-net               	    118	       0	       0	0.49s 	./segmented/hsv/blood_smear_25_unet.png
