METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     75	       0	       0	0.44s 	./segmented/hsv/blood_smear_21_otsu.png
OTSU w/out blur     	     75	       0	       0	0.43s 	./segmented/hsv/blood_smear_21_otsu_out_blur.png
HSV                 	     67	       0	       0	0.47s 	./segmented/hsv/blood_smear_21_hsv.png
HSV convex hull     	     65	       0	       0	0.55s 	./segmented/hsv/blood_smear_21_hsv_hull.png
Watershed           	     97	       0	       0	0.57s 	./segmented/hsv/blood_smear_21_waterhshed.png
Hough Circles       	     94	       0	       0	0.12s 	./segmented/hsv/blood_smear_21_hough.png
OTSU + Hough method 1 break	    118	       0	       0	0.54s 	./segmented/hsv/blood_smear_21_otsu_hough_1_break.png
OTSU + Hough method 2 merge	    102	       0	       0	0.43s 	./segmented/hsv/blood_smear_21_otsu_hough_2_merge.png
U-net               	    107	       0	       0	0.49s 	./segmented/hsv/blood_smear_21_unet.png
