METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     78	       0	       4	1.26s 	./samples/segmented/blood_smear_6_otsu.png
OTSU w/out blur     	     78	       1	       3	1.34s 	./samples/segmented/blood_smear_6_otsu_out_blur.png
HSV                 	     59	       2	       2	1.11s 	./samples/segmented/blood_smear_6_hsv.png
HSV convex hull     	     49	       3	       1	2.24s 	./samples/segmented/blood_smear_6_hsv_hull.png
Watershed           	     79	       1	       3	1.30s 	./samples/segmented/blood_smear_6_watershed.png
HoughCircles        	     71	       4	       0	0.53s 	./samples/segmented/blood_smear_6_hough.png
OTSU Hough break    	     79	       1	       3	1.40s 	./samples/segmented/blood_smear_6_otsu_hough_break.png
OTSU + Hough Circles	     88	       4	       0	0.94s 	./samples/segmented/blood_smear_6_otsu_hough.png
U-net               	     70	       0	       4	1.12s 	./samples/segmented/blood_smear_6_unet.png
