METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     91	       1	       2	1.60s 	./samples/segmented/blood_smear_5_otsu.png
OTSU w/out blur     	     91	       1	       2	1.70s 	./samples/segmented/blood_smear_5_otsu_out_blur.png
HSV                 	     76	       1	       2	1.58s 	./samples/segmented/blood_smear_5_hsv.png
HSV convex hull     	     81	       2	       1	2.30s 	./samples/segmented/blood_smear_5_hsv_hull.png
Watershed           	     90	       1	       2	1.67s 	./samples/segmented/blood_smear_5_watershed.png
HoughCircles        	     87	       1	       2	1.00s 	./samples/segmented/blood_smear_5_hough.png
OTSU Hough break    	     92	       1	       2	1.84s 	./samples/segmented/blood_smear_5_otsu_hough_break.png
Union               	     94	       1	       2	1.52s 	./samples/segmented/blood_smear_5_union.png
