METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     58	       1	       5	0.83s 	./samples/segmented/blood_smear_9_otsu.png
OTSU w/out blur     	     57	       1	       8	1.48s 	./samples/segmented/blood_smear_9_otsu_out_blur.png
HSV                 	     56	       5	       3	1.34s 	./samples/segmented/blood_smear_9_hsv.png
HSV convex hull     	     48	       5	       3	2.58s 	./samples/segmented/blood_smear_9_hsv_hull.png
Watershed           	     81	       2	       7	1.47s 	./samples/segmented/blood_smear_9_watershed.png
HoughCircles        	     73	       7	       2	0.91s 	./samples/segmented/blood_smear_9_hough.png
OTSU Hough break    	    138	       6	       3	2.95s 	./samples/segmented/blood_smear_9_otsu_hough_break.png
OTSU + Hough Circles	     88	       7	       2	1.29s 	./samples/segmented/blood_smear_9_otsu_hough.png
U-net               	     71	       3	       6	1.69s 	./samples/segmented/blood_smear_9_unet.png
