METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     71	       0	       0	0.43s 	./segmented/unet/blood_smear_22_otsu.png
OTSU w/out blur     	     64	       0	       0	0.47s 	./segmented/unet/blood_smear_22_otsu_out_blur.png
HSV                 	     57	       0	       0	0.50s 	./segmented/unet/blood_smear_22_hsv.png
HSV convex hull     	     59	       0	       0	0.68s 	./segmented/unet/blood_smear_22_hsv_hull.png
Watershed           	     87	       0	       0	0.60s 	./segmented/unet/blood_smear_22_waterhshed.png
Hough Circles       	     88	       0	       0	0.17s 	./segmented/unet/blood_smear_22_hough.png
OTSU + Hough method 1 break	    117	       0	       0	0.61s 	./segmented/unet/blood_smear_22_otsu_hough_1_break.png
OTSU + Hough method 2 merge	    100	       0	       0	0.47s 	./segmented/unet/blood_smear_22_otsu_hough_2_merge.png
U-net               	    103	       0	       0	0.58s 	./segmented/unet/blood_smear_22_unet.png
