METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     50	       0	       0	0.45s 	./segmented/unet/blood_smear_29_otsu.png
OTSU w/out blur     	     46	       0	       0	0.47s 	./segmented/unet/blood_smear_29_otsu_out_blur.png
HSV                 	     47	       0	       0	0.55s 	./segmented/unet/blood_smear_29_hsv.png
HSV convex hull     	     46	       0	       0	1.75s 	./segmented/unet/blood_smear_29_hsv_hull.png
Watershed           	     65	       0	       0	0.57s 	./segmented/unet/blood_smear_29_waterhshed.png
Hough Circles       	     40	       0	       0	0.17s 	./segmented/unet/blood_smear_29_hough.png
OTSU + Hough method 1 break	     88	       0	       0	0.63s 	./segmented/unet/blood_smear_29_otsu_hough_1_break.png
OTSU + Hough method 2 merge	     58	       0	       0	0.49s 	./segmented/unet/blood_smear_29_otsu_hough_2_merge.png
U-net               	     58	       0	       0	0.49s 	./segmented/unet/blood_smear_29_unet.png
