METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     67	       0	       0	0.45s 	./segmented/unet/blood_smear_23_otsu.png
OTSU w/out blur     	     64	       0	       0	0.47s 	./segmented/unet/blood_smear_23_otsu_out_blur.png
HSV                 	     58	       0	       0	0.51s 	./segmented/unet/blood_smear_23_hsv.png
HSV convex hull     	     57	       0	       0	0.75s 	./segmented/unet/blood_smear_23_hsv_hull.png
Watershed           	     91	       0	       0	0.59s 	./segmented/unet/blood_smear_23_waterhshed.png
Hough Circles       	     72	       0	       0	0.16s 	./segmented/unet/blood_smear_23_hough.png
OTSU + Hough method 1 break	    116	       0	       0	0.61s 	./segmented/unet/blood_smear_23_otsu_hough_1_break.png
OTSU + Hough method 2 merge	     89	       0	       0	0.44s 	./segmented/unet/blood_smear_23_otsu_hough_2_merge.png
U-net               	    100	       0	       0	0.52s 	./segmented/unet/blood_smear_23_unet.png
