METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     66	       0	       0	0.39s 	./samples/segmented/hsv/blood_smear_21_otsu.png
OTSU w/out blur     	     70	       0	       0	0.40s 	./samples/segmented/hsv/blood_smear_21_otsu_out_blur.png
HSV                 	     61	       0	       0	0.45s 	./samples/segmented/hsv/blood_smear_21_hsv.png
HSV convex hull     	     57	       0	       0	0.50s 	./samples/segmented/hsv/blood_smear_21_hsv_hull.png
Watershed           	     91	       0	       0	0.57s 	./samples/segmented/hsv/blood_smear_21_waterhshed.png
Hough Circles       	     94	       0	       0	0.11s 	./samples/segmented/hsv/blood_smear_21_hough.png
OTSU + Hough v2     	    114	       0	       0	0.55s 	./samples/segmented/hsv/blood_smear_21_otsu_hough_v2.png
OTSU + Hough v1     	    102	       0	       0	0.41s 	./samples/segmented/hsv/blood_smear_21_otsu_hough_v1.png
U-net               	     96	       0	       0	0.47s 	./samples/segmented/hsv/blood_smear_21_unet.png
