METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     75	       0	       0	0.44s 	./samples/segmented/hsv/blood_smear_2_otsu.png
OTSU w/out blur     	     76	       0	       0	0.50s 	./samples/segmented/hsv/blood_smear_2_otsu_out_blur.png
HSV                 	     75	       0	       0	0.59s 	./samples/segmented/hsv/blood_smear_2_hsv.png
HSV convex hull     	     71	       0	       0	0.91s 	./samples/segmented/hsv/blood_smear_2_hsv_hull.png
Watershed           	     88	       0	       0	0.58s 	./samples/segmented/hsv/blood_smear_2_waterhshed.png
Hough Circles       	     81	       0	       0	0.13s 	./samples/segmented/hsv/blood_smear_2_hough.png
OTSU + Hough v2     	     77	       0	       0	0.58s 	./samples/segmented/hsv/blood_smear_2_otsu_hough_v2.png
OTSU + Hough v1     	     86	       0	       0	0.52s 	./samples/segmented/hsv/blood_smear_2_otsu_hough_v1.png
U-net               	     77	       0	       0	0.50s 	./samples/segmented/hsv/blood_smear_2_unet.png
