METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     82	       0	       0	0.40s 	./samples/segmented/hsv/blood_smear_17_otsu.png
OTSU w/out blur     	     82	       0	       0	0.40s 	./samples/segmented/hsv/blood_smear_17_otsu_out_blur.png
HSV                 	     75	       0	       0	0.48s 	./samples/segmented/hsv/blood_smear_17_hsv.png
HSV convex hull     	     76	       0	       0	0.48s 	./samples/segmented/hsv/blood_smear_17_hsv_hull.png
Watershed           	     92	       0	       0	0.55s 	./samples/segmented/hsv/blood_smear_17_waterhshed.png
Hough Circles       	     89	       0	       0	0.11s 	./samples/segmented/hsv/blood_smear_17_hough.png
OTSU + Hough v2     	     93	       0	       0	0.51s 	./samples/segmented/hsv/blood_smear_17_otsu_hough_v2.png
OTSU + Hough v1     	     92	       0	       0	0.43s 	./samples/segmented/hsv/blood_smear_17_otsu_hough_v1.png
U-net               	     94	       0	       0	0.45s 	./samples/segmented/hsv/blood_smear_17_unet.png
